gid,config
64895,default
64896,default
64897,default
64898,default
64899,default
64900,default
64901,default
64902,default
64903,default
64904,default
64905,default
64906,default
64907,default
64908,default
64909,default
64910,default
64911,default
64912,default
64913,default
64914,default
64915,default
64916,default
64917,default
64918,default
64919,default
64920,default
64921,default
64922,default
64923,default
64924,default
64925,default
64926,default
64927,default
64928,default
64929,default
64930,default
64931,default
64932,default
64933,default
64934,default
64935,default
64936,default
64937,default
64938,default
64939,default
64940,default
64941,default
64942,default
64943,default
64944,default
64945,default
64946,default
64947,default
64948,default
64949,default
64950,default
64951,default
64952,default
64953,default
64954,default
64955,default
64956,default
64957,default
64958,default
64959,default
64960,default
64961,default
64962,default
64963,default
64964,default
64965,default
64966,default
64967,default
64968,default
64969,default
64970,default
64971,default
64972,default
64973,default
64974,default
64975,default
64976,default
64977,default
64978,default
64979,default
64980,default
64981,default
64982,default
64983,default
64984,default
64985,default
64986,default
64987,default
64988,default
64989,default
64990,default
64991,default
64992,default
64993,default
64994,default
64995,default
64996,default
64997,default
64998,default
64999,default
65000,default
65001,default
65002,default
65003,default
65004,default
65005,default
65006,default
65007,default
65008,default
65009,default
65010,default
65011,default
65012,default
65013,default
65014,default
65015,default
65016,default
65017,default
65018,default
65019,default
65020,default
65021,default
65022,default
65023,default
65024,default
65025,default
65026,default
65027,default
65028,default
65029,default
65030,default
65031,default
65032,default
65033,default
65034,default
65035,default
65036,default
65037,default
65038,default
65039,default
65040,default
65041,default
65042,default
65043,default
65044,default
65045,default
65046,default
65047,default
65048,default
65049,default
65050,default
65051,default
65052,default
65053,default
65054,default
65055,default
65056,default
65057,default
65058,default
65059,default
65060,default
65061,default
65062,default
65063,default
65064,default
65065,default
65175,default
65176,default
65177,default
65178,default
65179,default
65180,default
65181,default
65182,default
65183,default
65184,default
65185,default
65186,default
65187,default
65188,default
65189,default
65190,default
65191,default
65192,default
65193,default
65194,default
65195,default
65196,default
65197,default
65198,default
65199,default
65200,default
65201,default
65202,default
65203,default
65204,default
65205,default
65206,default
65207,default
65208,default
65209,default
65210,default
65211,default
65212,default
65213,default
65214,default
65215,default
65216,default
65217,default
65218,default
65219,default
65220,default
65221,default
65222,default
65223,default
65224,default
65225,default
65226,default
65227,default
65228,default
65229,default
65230,default
65231,default
65232,default
65233,default
65234,default
65235,default
65236,default
65237,default
65238,default
65239,default
65240,default
